Name_old,BEZ,Name,ISO,Cumulative,Recovered,Dead,Cases,Population,Density,Date,Source,Quelle 2,Mortality,Lethality
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),08128,250,47,1,202,132321,1889,"2020-04-06, 22:34","https://www.main-tauber-kreis.de/Landratsamt/Aktuelles/Pressemitteilungen/Vier-neue-F%C3%A4lle-von-Coronavirus-Infektionen-best%C3%A4tigt.php?object=tx,2894.6.1&ModID=7&FID=2894.22665.1&NavID=2177.36&La=1&kat=2177.1683&startkat=2177.1683","https://www.main-tauber-kreis.de/Quicknavigation/Startseite/Vier-neue-Fälle-von-Coronavirus-Infektionen-im-Kreis-Zahlen-20-März-.php?object=tx,2894.6&ModID=7&FID=2894.22568.1",7,4
Heidenheim,Landkreis,Heidenheim (Landkreis),08135,291,83,10,198,132472,2196,"2020-04-06, 22:34",https://www.info-corona-lrahdh.de/startseite,https://www.info-corona-lrahdh.de/startseite,75,34
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),08136,662,351,5,306,314002,2108,"2020-04-06, 22:34",https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450,,15,7
Baden-Baden,Stadtkreis,Baden-Baden (Stadtkreis),08211,113,0,5,108,55123,2049,"2020-04-06, 22:34",https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,https://sozialministerium.baden-wuerttemberg.de/fileadmin/redaktion/m-sm/intern/bilder/03_Gesundheit/Coronavirus_Faelle-BW_Karte.jpg,90,44
Karlsruhe,Stadtkreis,Karlsruhe (Stadtkreis),08212,245,82,3,160,313092,782,"2020-04-06, 22:34",https://corona.karlsruhe.de/aktuelle-fallzahlen,https://corona.karlsruhe.de/aktuell/offiziell-bestaetigte-coronafaelle-im-stadt-und-landkreis-karlsruhe,9,12
Karlsruhe,Landkreis,Karlsruhe (Landkreis),08215,657,184,12,461,444232,1478,"2020-04-06, 22:34",https://corona.karlsruhe.de/aktuelle-fallzahlen,https://corona.karlsruhe.de/aktuell/offiziell-bestaetigte-coronafaelle-im-stadt-und-landkreis-karlsruhe,27,18
Rastatt,Landkreis,Rastatt (Landkreis),08216,376,130,1,245,231018,1627,"2020-04-06, 22:34",https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,4,2
Heidelberg,Stadtkreis,Heidelberg (Stadtkreis),08221,243,107,4,132,160355,1515,"2020-04-06, 22:34",https://www.rhein-neckar-kreis.de/site/Rhein-Neckar-Kreis-2016/get/params_E-1409939237/2444925/200402_Faktenblatt_Corona_RNK.pdf,https://www.rhein-neckar-kreis.de/start/landratsamt/coronavirus+-+faq.html,24,16
Mannheim,Stadtkreis,Mannheim (Stadtkreis),08222,326,133,3,190,309370,1053,"2020-04-06, 22:34",https://www.mannheim.de/de/nachrichten/27-aktuelle-information-zu-corona-05-04-2020,https://www.mannheim.de/de/presse/11-aktuelle-information-zu-corona-20-03-2020,9,9
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),08225,149,42,6,101,143535,1038,"2020-04-06, 22:34",https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/SARS_CoV_2_+Aktuelle+Fallzahlen+f%C3%BCr+den+Neckar_Odenwald_Kreis-p-5764.html,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/___AKTUELLES+UPDATE+%2820_03_2020+um+16_00+Uhr%29___+Informationen+zu+dem+neuartigen+Coronavirus+%28SARS_CoV_2%29-p-5726.html,41,40
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),08226,726,331,15,380,547625,1325,"2020-04-06, 22:34","https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",https://www.rhein-neckar-kreis.de/start/landratsamt/coronavirus+-+faq.html,27,20
Pforzheim,Stadtkreis,Pforzheim (Stadtkreis),08231,74,0,3,71,125542,589,"2020-04-06, 22:34","https://www.enzkreis.de/Kreis-Verwaltung/Aktuelles/Weiterer-Todesfall-im-Enzkreis-Zahl-f%C3%BCr-Pforzheim-und-den-Kreis-steigt-auf-sechs-an.php?object=tx,2891.6.1&ModID=7&FID=2891.2111.1&NavID=2032.156&La=1&startkat=2891.5&max=15","https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-Fast-50-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1",23,40
Calw,Landkreis,Calw (Landkreis),08235,444,159,11,274,158397,2803,"2020-04-06, 22:34","https://www.kreis-calw.de/Der-Landkreis/Pressemitteilungen/Zw%C3%B6lf-weitere-Corona-F%C3%A4lle-im-Landkreis-Calw.php?object=tx,2442.14.1&ModID=7&FID=2442.12334.1&NavID=2442.562&La=1","https://www.kreis-calw.de/Schnellnavigation/Startseite/21-weitere-Corona-F%C3%A4lle-im-Landkreis-Calw.php?object=tx,2442.14&ModID=7&FID=2442.12287.1",69,24
Enzkreis,Landkreis,Enzkreis (Landkreis),08236,205,105,3,97,198905,1030,"2020-04-06, 22:34","BW und https://www.enzkreis.de/Kreis-Verwaltung/Aktuelles/Weiterer-Todesfall-im-Enzkreis-Zahl-f%C3%BCr-Pforzheim-und-den-Kreis-steigt-auf-sechs-an.php?object=tx,2891.6.1&ModID=7&FID=2891.2111.1&NavID=2032.156&La=1&startkat=2891.5&max=15",https://sozialministerium.baden-wuerttemberg.de/fileadmin/redaktion/m-sm/intern/bilder/03_Gesundheit/Coronavirus_Faelle-BW_Karte.jpg,15,14
Freudenstadt,Landkreis,Freudenstadt (Landkreis),08237,276,0,5,271,117935,2340,"2020-04-06, 22:34",https://www.landkreis-freudenstadt.de/Startseite/Aktuell/aktuelle+situation+im+landkreis+freudenstadt.html,https://www.landkreis-freudenstadt.de/Startseite/Aktuell/aktuelle+situation+im+landkreis+freudenstadt.html,42,18
Freiburg im Breisgau,Stadtkreis,Freiburg im Breisgau (Stadtkreis),08311,690,0,20,670,230241,2996,"2020-04-06, 22:34",https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,86,28
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),08315,708,0,16,692,262795,2694,"2020-04-06, 22:34",https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,60,22
Emmendingen,Landkreis,Emmendingen (Landkreis),08316,407,34,21,352,165383,2460,"2020-04-06, 22:34",https://www.landkreis-emmendingen.de/aktuelles/coronavirus/,https://sozialministerium.baden-wuerttemberg.de/fileadmin/redaktion/m-sm/intern/bilder/03_Gesundheit/Coronavirus_Faelle-BW_Karte.jpg,126,51
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),08317,640,9,42,589,429479,1490,"2020-04-06, 22:34","https://www.ortenaukreis.de/Politik-Verwaltung/Verwaltung/Sicherheit-Ordnung-Gesundheit/Gesundheitsamt/Corona/624-best%C3%A4tigte-Covid-19-F%C3%A4lle-im-Ortenaukreis.php?object=tx,2390.13&ModID=7&FID=2390.15675.1&NavID=2390.557&La=1","https://www.ortenaukreis.de/Politik-Verwaltung/Verwaltung/Sicherheit-Ordnung-Gesundheit/Gesundheitsamt/Corona/Zahl-der-bestätigten-Corona-Infizierten-im-Ortenaukreis-steigt-auf-82.php?object=tx,2390.13&ModID=7&FID=2390.15620.1&NavID=2390.557&La=1",97,65
Rottweil,Landkreis,Rottweil (Landkreis),08325,289,85,4,200,139455,2072,"2020-04-06, 22:34",https://www.schwarzwaelder-bote.de/inhalt.rottweil-mittlerweile-289-infizierte.c09634e8-ccad-44aa-8a7f-3b5040327457.html,https://www.schwarzwaelder-bote.de/inhalt.kreis-rottweil-drei-weitere-coronavirus-faelle-im-landkreis.2e5e7881-13b0-469d-a249-3adc2362cb71.html,28,13
